Date,vol_BTC,vol_ETH,vol_BNB,vol_SP500,volUS10Y,vol_DJI,vol_Nas,volGold,vol_energy,vol_metal
2017/11/9,5.839037253,7.44867301,15.07537688,0.780385511,1.282051282,0.88108656,1.059375401,0.637528902,1.292650589,1.611445783
2017/11/10,13.90538853,12.84016476,24.56140351,0.31909538,2.872606162,0.252922333,0.458863192,1.083482558,1.168739748,1.115465782
2017/11/13,14.28593331,4.980524871,14.88095238,0.509896164,1.703365185,0.504869943,0.620786615,0.4445648,1.299402891,1.726961441
2017/11/14,4.689939519,7.021060189,13.20754717,0.507974423,1.768421053,0.608770724,0.582969474,1.050595037,2.813781016,2.750266646
2017/11/15,10.06700351,5.478084637,12.25806452,0.600088902,2.407566638,0.439339821,0.779916783,1.007431501,1.139903256,1.208849692
2017/11/16,10.76435311,4.211512879,10.25641026,0.662891973,2.4,0.540745389,0.930883369,0.489963648,1.092787309,1.432401379
2017/11/17,6.045454545,3.024169184,6,0.245846017,1.748400853,0.332901794,0.587218961,1.451436967,2.290343124,1.057034221
2017/11/20,4.206338618,5.889547209,5.487804878,0.247856429,2.027027027,0.411005735,0.359984212,1.713096019,1.734829742,1.145153951
2017/11/21,6.781481481,6.527777778,6.289308176,0.462480233,1.65394402,0.498710728,0.6868246,0.697993831,1.041569298,1.330326945
2017/11/22,2.584249195,6.068650126,3.703703704,0.219862307,2.413793103,0.417237308,0.30409701,1.118828022,1.267623025,0.903389577
2017/11/24,5.276314506,17.24299165,16.1849711,0.145633679,1.196581197,0.202012141,0.333422267,0.56494642,0.943446903,1.080441057
2017/11/27,4.282250442,7.105441027,10.76923077,0.289841702,1.287001287,0.398205657,0.440214363,0.978774637,1.399758007,1.720912832
2017/11/28,3.345447204,4.682532864,7.8125,0.846960838,1.375752365,0.975386284,0.634015097,0.508225224,1.061942242,1.926884996
2017/11/29,25.19948363,27.1185231,28.40909091,0.554821463,3.098827471,0.364108288,2.112533234,1.175331547,2.318975764,1.822218819
2017/11/30,16.7420678,16.09171468,16.92307692,0.899311824,2.401656315,1.293735464,0.828835169,1.197686288,1.965799018,1.139425668
2017/12/1,14.01187681,11.51366488,12.68292683,1.706897987,4.612780364,1.65139803,1.900638543,1.402502371,2.510086588,2.169954476
2017/12/4,6.080575366,6.83655914,12.94117647,0.991119328,2.107925801,1.012142832,1.979021984,0.46238582,2.010048004,0.890953396
2017/12/5,3.563867628,5.136433045,9.578544061,0.798229368,1.784955376,0.804197077,1.61673139,1.298166083,1.360833202,3.386235072
2017/12/6,15.86518881,12.38307027,18.7250996,0.367402359,2.094017094,0.392280158,1.110431349,0.537523731,2.542029075,1.104972376
2017/12/7,20.63880168,9.397137487,16.54135338,0.548354557,2.286198137,0.66761718,0.675080902,1.118557892,1.211220875,1.048317175
2017/12/8,21.11655325,12.04685769,21.14695341,0.284744484,1.26156434,0.430018957,0.66702708,0.656490675,2.121151568,1.229508197
2017/12/11,14.1915434,19.80786026,12.26765799,0.333083959,1.548117155,0.307471122,0.727569602,0.592251951,1.920791578,1.662394158
2017/12/12,7.645795164,23.49614882,11.37254902,0.373107717,1.872659176,0.445382129,0.498304262,0.771993656,3.385099546,0.863007308
2017/12/13,9.812240587,24.46828534,17.27941176,0.339110352,3.492333901,0.60084367,0.444432629,1.073872202,2.289817894,0.858667904
2017/12/14,5.571445054,15.87740892,16.50793651,0.606332555,1.915708812,0.668416796,0.585767249,0.691116845,1.504594397,1.20989356
2017/12/15,8.774879578,13.01950493,34.22330097,0.765749437,1.446193109,0.422607086,1.018972151,0.716226797,0.917167143,2.030495169
2017/12/18,5.833241094,17.71706272,22.5,0.336411217,1.42021721,0.550616726,0.42252202,0.901643096,1.242214436,0.984074519
2017/12/19,12.60692662,14.1241031,20.87719298,0.51091379,3.375355836,0.543370464,0.7418986,0.481066593,0.800874331,1.211396097
2017/12/20,13.18734054,14.7423238,19.80582524,0.556125781,2.282739287,0.628188614,0.87478061,0.552007299,0.892825494,1.861152142
2017/12/21,15.02549242,12.83149294,24.6124031,0.381439113,1.006441224,0.341534217,0.521267047,0.417103524,0.923230888,1.152124459
2017/12/22,36.20929382,47.75466021,45.45454545,0.269067654,0.60362173,0.269208364,0.291252976,0.923975814,1.166685348,1.752854753
2017/12/26,14.89026821,5.464123766,48,0.178324939,1.535974131,0.281699703,0.470219923,0.823248909,2.4830678,0
2017/12/27,12.84265013,8.52603707,30.18867925,0.250874145,2.985074627,0.233467747,0.357722819,0.51129101,1.122726012,1.883684286
2017/12/28,14.16377867,12.41179613,26.48648649,0.18492748,0.862777321,0.169501693,0.301020582,0.524635546,0.878120649,1.801929625
2017/12/29,8.050664925,7.105752406,16.18828932,0.692322366,1.496881497,0.616686125,0.720871988,1.039570016,1.256002721,1.328219334
2018/1/2,16.07620932,16.01574326,11.69724771,0.50188997,2.641202763,0.493433575,1.463139692,0.805369128,1.468241674,1.067995728
2018/1/3,5.64308618,12.17927623,12.90322581,0.611855248,1.308793456,0.466924103,0.912284437,0.847829907,1.855914968,1.237766264
2018/1/4,7.667933676,11.03829787,9.846827133,0.375184931,1.549123522,0.569049891,0.398658684,1.135093678,1.075225159,1.712328767
2018/1/5,13.53304079,9.721948129,52.75537634,0.56613747,1.89822294,0.742334618,0.750756393,0.755584757,1.467503257,1.378762723
2018/1/8,16.02943337,22.74683432,29.44444444,0.397057914,1.088709677,0.302891271,0.466103408,0.543537818,0.913192659,0.678749368
2018/1/9,4.812396387,14.01417777,24.02298851,0.409989496,2.94002352,0.517494032,0.566791555,0.849677519,1.871469838,1.146755697
